Year,PKR_Mean,PKR_Min,PKR_Max,PKR_Std,PKR_YearEnd,IRR_Mean,IRR_Min,IRR_Max,IRR_Std,IRR_YearEnd,Trading_Days,PKR_YoY%,IRR_YoY%,PKR_Range,IRR_Range
2002,60.15,60.15,60.15,,60.15,8298.3,8298.3,8298.3,,8298.3,1,,,0.0,0.0
2003,57.18,57.0,58.28,0.29,57.3,8258.56,8161.3,8298.3,30.02,8161.3,25,-4.738154613466339,-1.6509405540893862,1.2800000000000011,136.9999999999991
2004,58.19,55.26,61.08,1.08,57.54,8568.33,8161.3,8827.1,169.65,8724.0,261,0.41884816753927634,6.894734907428957,5.82,665.8000000000002
2005,59.54,56.36,59.97,0.35,59.74,8936.48,8397.8,9086.0,130.77,9086.0,260,3.82342718109141,4.149472718936265,3.6099999999999994,688.2000000000007
2006,60.21,59.5,61.05,0.34,60.75,8858.9,8657.4,9128.0,142.64,8838.5,260,1.6906595246066303,-2.723970944309928,1.5499999999999972,470.60000000000036
2007,60.59,59.25,61.75,0.31,61.75,9015.58,8781.3,9333.0,131.23,9234.9,261,1.6460905349794164,4.4849239124285845,2.5,551.7000000000007
2008,70.42,61.65,83.25,6.89,78.75,9297.2,8747.5,10125.0,342.35,9680.4,261,27.530364372469627,4.824091219179416,21.6,1377.5
2009,81.44,76.7,84.45,1.66,84.3,9699.18,9336.6,9992.9,118.76,9722.2,260,7.047619047619036,0.4318003388289915,7.75,656.2999999999993
2010,84.74,81.48,86.2,0.84,85.65,9948.1,8814.0,10600.0,270.35,10305.0,260,1.6014234875444844,5.994527987492537,4.719999999999999,1786.0
2011,409.84,82.4,84020.0,5215.42,89.7,10471.08,40.0,11470.0,693.08,11125.0,259,4.728546409807355,7.957302280446377,83937.6,11430.0
2012,92.57,88.47,97.65,2.2,95.71,11982.11,1255.0,12280.0,735.94,12051.0,261,6.700111482720161,8.323595505617988,9.180000000000007,11025.0
2013,100.59,94.8,108.6,3.98,105.6,17744.25,11926.0,24892.0,6220.58,24571.0,260,10.333298505903254,103.89179321218158,13.799999999999997,12966.0
2014,100.07,2.0,105.8,6.63,100.45,24644.2,24571.0,24653.0,25.43,24653.0,261,-4.876893939393934,0.3337267510479913,103.8,82.0
2015,101.94,10.0,105.45,5.91,103.36,24653.0,24653.0,24653.0,0.0,24653.0,261,2.896963663514174,0.0,95.45,0.0
2016,103.87,101.85,104.92,0.75,102.87,25597.8,24653.0,32347.0,2488.67,32347.0,261,-0.4740712074303377,31.20918346651522,3.0700000000000074,7694.0
2017,104.28,102.15,110.25,1.33,109.34,32924.97,32359.0,34272.0,725.77,34272.0,258,6.289491591328855,5.951092837048266,8.099999999999994,1913.0
2018,121.03,108.57,139.15,9.04,138.5,40786.82,34272.0,48784.0,2571.37,42000.0,261,26.669105542344983,22.549019607843146,30.580000000000013,14512.0
2019,149.69,137.6,163.07,8.21,154.5,42000.0,42000.0,42000.0,0.0,42000.0,260,11.55234657039712,0.0,25.47,0.0
2020,161.28,152.96,168.15,4.68,160.0,43099.24,42000.0,90000.0,7193.93,42000.0,262,3.5598705501618033,0.0,15.189999999999998,48000.0
2021,162.29,149.62,178.02,7.93,177.95,42001.8,41990.0,42025.0,7.0,42025.0,261,11.21874999999999,0.05952380952380931,28.400000000000006,35.0
2022,203.74,172.95,239.9,20.6,226.0,42000.35,41100.0,42200.0,229.17,41350.0,260,27.001966844619286,-1.6061867935752483,66.95000000000002,1100.0
2023,278.85,225.22,307.0,16.93,281.5,41975.79,41350.0,42227.5,152.68,42025.0,260,24.557522123893815,1.6324062877871803,81.78,877.5
2024,277.63,274.53,281.5,1.07,276.76,42012.5,42000.0,42035.0,12.25,42025.0,262,-1.6838365896980512,0.0,6.970000000000027,35.0
2025,280.66,275.58,284.75,1.75,279.9,42012.49,42000.0,42025.0,12.49,42025.0,257,1.1345570169099428,0.0,9.170000000000016,25.0
2026,278.8,276.29,280.66,0.89,278.95,1024881.69,1212.0,1313950.0,419257.01,1313950.0,51,-0.33940693104679287,3026.591314693635,4.3700000000000045,1312738.0
